gait,speed,angle,verdict,wall_s,detail,when
walking,2.5,60,PASS,74.2,[runner] run 1254 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:27:56
walking,2.5,75,FELL,114.9,[runner] run 1255 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 17:29:55
walking,2.5,105,FELL,153.7,[runner] run 1256 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 17:32:33
walking,2.5,120,FELL,150.3,[runner] run 1257 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 17:35:08
walking,2.5,150,PASS,82.1,[runner] run 1258 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:36:35
walking,2.5,165,PASS,82.7,[runner] run 1259 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:38:03
bounding,1.75,45,PASS,85.9,[runner] run 1260 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:39:34
bounding,1.75,90,PASS,84.9,[runner] run 1261 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:41:04
bounding,1.75,135,PASS,91.3,[runner] run 1262 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:42:40
galloping,1.35,45,PASS,99.7,[runner] run 1263 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:44:25
galloping,1.35,90,PASS,97.5,[runner] run 1264 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:46:08
galloping,1.35,135,PASS,102.8,[runner] run 1265 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:47:57
pronking,0.95,45,PASS,107.6,[runner] run 1266 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:49:50
pronking,0.95,90,PASS,115.0,[runner] run 1267 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:51:50
pronking,0.95,135,PASS,114.3,[runner] run 1268 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:53:50
trotting,2.7,45,PASS,97.3,[runner] run 1269 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 17:55:33
trotting,2.7,90,FELL,158.3,[runner] run 1270 phase=done  dogs=1  PASS=0 FAIL=0 FELL=1 INVALID=0,2026-08-29 17:58:18
trotting,2.7,135,PASS,102.0,[runner] run 1271 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 18:00:06
trotRunning,4.25,45,PASS,91.2,[runner] run 1272 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 18:01:43
trotRunning,4.25,90,PASS,95.7,[runner] run 1273 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 18:03:26
trotRunning,4.25,135,PASS,101.3,[runner] run 1274 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 18:05:14
walking,2.25,45,PASS,104.1,[runner] run 1275 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 18:07:04
walking,2.25,90,PASS,104.3,[runner] run 1276 phase=done  dogs=1  PASS=1 FAIL=0 FELL=0 INVALID=0,2026-08-29 18:08:55
walking,2.25,135,FAIL,32.9,,2026-08-29 18:09:35
